brand,model,use,surface,heel,forefoot,drop,weight,price,plate,waterproof,cushioning,width,breathability,source_link
New Balance,Fresh Foam X Hierro v9,daily trainer,trail,37.3 mm,33.1 mm,4.2 mm,309g,$155,no,no,maximal,normal,medium,https://runrepeat.com/new-balance-fresh-foam-x-hierro-v9
Hoka,Tecton X 2,racer,trail,37.4 mm,31.8 mm,5.6 mm,257g,$225,carbon,no,maximal,narrow,high,https://runrepeat.com/hoka-tecton-x-2
Nike,Wildhorse 10,daily trainer,trail,38.3 mm,27.4 mm,10.9 mm,312g,$165,forefoot rock plate,no,maximal,normal,medium,https://runrepeat.com/nike-wildhorse-10
Saucony,Ride 17,daily trainer,road,35.1 mm,26.6 mm,8.5 mm,288g,N/A,no,no,maximal,normal,low,https://runrepeat.com/saucony-ride-17
Hoka,Transport X,daily trainer,road,40.2,30.8,9.4,274,200,carbon,no,maximal,normal,high,https://runrepeat.com/hoka-transport-x
On,Cloudboom Strike,racer,road,38.1 mm,34.9 mm,3.2 mm,201g,$280,carbon,no,responsive,normal,high,https://runrepeat.com/on-cloudboom-strike
Hoka,Speedgoat 6,daily trainer,trail,32.1 mm,27.2 mm,4.9 mm,278g,N/A,no,no,maximal,normal,low,https://runrepeat.com/hoka-speedgoat-6
Salomon,XA Pro 3D v9 GTX,daily trainer,trail,33.5 mm,20.0 mm,13.5 mm,359g,N/A,no,yes,firm,normal,low,https://runrepeat.com/salomon-xa-pro-3d-v9-gtx
Hoka,Skyward X,daily trainer,road,46.3 mm,37.1 mm,9.2 mm,315g,$225,carbon,no,maximal,narrow,high,https://runrepeat.com/hoka-skyward-x
Saucony,Hurricane 24,daily trainer,road,40.5 mm,34.2 mm,6.3 mm,315g,N/A,no,no,maximal,normal,high,https://runrepeat.com/saucony-hurricane-24
PUMA,Deviate Nitro 2,daily trainer,road,31.7,26.1,5.6,257,160,carbon,no,plush,normal,high,https://runrepeat.com/puma-deviate-nitro-2
Hoka,Solimar,cross-training,road,30.4,24.0,6,232,125,no,no,moderate,narrow,high,https://runrepeat.com/hoka-solimar
Adidas,Supernova Rise 2,daily trainer,road,33.5 mm,24.0 mm,9.5 mm,257g,$140,no,no,responsive,wide,high,https://runrepeat.com/adidas-supernova-rise-2
Hoka,Bondi 9,daily trainer,road,41.3 mm,32.2 mm,9.1 mm,303g,N/A,no,no,maximal,narrow,medium,https://runrepeat.com/hoka-bondi-9
Nike,Alphafly 3,racer,road,38.1 mm,29.6 mm,8.5 mm,201g,$285,carbon,no,maximal,normal,high,https://runrepeat.com/nike-alphafly-3
Altra,FWD VIA,daily trainer,road,35.9 mm,29.4 mm,6.5 mm,255g,N/A,no,no,firm,wide,medium,https://runrepeat.com/altra-fwd-via
Saucony,Tempus,daily trainer,road,33.9,N/A,N/A,252,160,no,no,responsive,normal,high,https://runrepeat.com/saucony-tempus
ASICS,Glideride Max,daily trainer,road,44.1 mm,31.4 mm,12.7 mm,281g,$170,EVA,no,maximal,normal,medium,https://runrepeat.com/asics-glideride-max
New Balance,FuelCell SuperComp Trainer v3,marathon training,road,36.8 mm,29.5 mm,7.3 mm,278g,$180,carbon,no,"ultra-soft, responsive",normal,high,https://runrepeat.com/new-balance-fuel-cell-super-comp-trainer-v-3
New Balance,Fresh Foam X Kaiha Road,daily trainer,road,35.8 mm,32.0 mm,3.8 mm,281g,$85,no,no,maximal,normal,high,https://runrepeat.com/new-balance-fresh-foam-x-kaiha-road
Brooks,Adrenaline GTS 23,daily trainer,road,34.1 mm,21.5 mm,12.6 mm,286g,$140,no,no,responsive,normal,high,https://runrepeat.com/brooks-adrenaline-gts-23
On,Cloudvista 2,daily trainer,trail,31.7 mm,25.7 mm,6.0 mm,292g,$150,no,no,responsive,normal,low,https://runrepeat.com/on-cloudvista-2
On,Cloudmonster 2,daily trainer,road,37.9 mm,31.3 mm,6.6 mm,292g,N/A,TPU,no,maximal,wide,low,https://runrepeat.com/on-cloudmonster-2
Nike,Vomero 17,daily trainer,road,33.9 mm,26.2 mm,7.7 mm,9.9 oz (282g),160,no,no,maximal,normal,high,https://runrepeat.com/nike-vomero-17
Altra,Experience Flow,daily trainer,road,30.7 mm,26.6 mm,4.1 mm,235g,$140,no,no,average,normal,high,https://runrepeat.com/altra-experience-flow
Hoka,Gaviota 5,daily trainer,road,34.9 mm,32.7 mm,2.2 mm,299g,N/A,no,no,maximal,wide,high,https://runrepeat.com/hoka-gaviota-5
Hoka,Challenger 7,daily trainer,trail,34.2,25.0,8.8,250,N/A,no,no,maximal,narrow,low,https://runrepeat.com/hoka-challenger-7
Altra,Rivera 3,daily trainer,road,28.4 mm,26.7 mm,1.7 mm,257g,N/A,no,no,plush,normal,medium,https://runrepeat.com/altra-rivera-3
HOKA,Arahi 8,daily trainer,road,39.4 mm,28.1 mm,11.3 mm,259g,$150,no,no,maximal,normal,low,https://runrepeat.com/hoka-arahi-8
Salomon,Aero Glide 3,daily trainer,road,42.2,31.9,10.3,248,160,no,no,maximal,narrow,high,https://runrepeat.com/salomon-aero-glide-3
Nike,Pegasus 41,daily trainer,road,33.6 mm,22.2 mm,11.4 mm,281g,N/A,no,no,responsive,normal,high,https://runrepeat.com/nike-pegasus-41
Saucony,Triumph 22,daily trainer,road,38.6 mm,28.9 mm,9.7 mm,286g,N/A,no,no,maximal,normal,medium,https://runrepeat.com/saucony-triumph-22
Altra,VIA Olympus,daily trainer,road,34.3,32.6,1.6,300,170,no,no,balanced,wide,high,https://runrepeat.com/altra-via-olympus
Nike,Vomero 18,daily trainer,road,42.5 mm,28.6 mm,13.9 mm,298g,$150,no,no,maximal,narrow,medium,https://runrepeat.com/nike-vomero-18
Brooks,Glycerin 20,daily trainer,road,37.1 mm,24.3 mm,12.8 mm,297g,$160,no,no,maximal,normal,high,https://runrepeat.com/brooks-glycerin-20
